Algorithm,Difference in Pixels
screen-saobias0SAO_0.091.txt,725669
screen-saobias0SAO_0.092.txt,725941
screen-saobias0SAO_0.093.txt,725992
screen-saobias0SAO_0.095.txt,725917
screen-saobias0SAO_0.094.txt,725847
screen-saobias0SAO_0.097.txt,726016
screen-saobias0SAO_0.098.txt,725803
screen-saobias0SAO_0.099.txt,725993
screen-saobias0SAO_0.1.txt,725983
screen-saobias0SAO_0.101.txt,726025
screen-saobias0SAO_0.102.txt,725996
screen-saobias0SAO_0.103.txt,725869
screen-saobias0SAO_0.104.txt,725942
screen-saobias0SAO_0.105.txt,726279
screen-saobias0SAO_0.107.txt,726277
screen-saobias0SAO_0.106.txt,726322
screen-saobias0SAO_0.096.txt,725905
screen-saobias0SAO_0.109.txt,726573
screen-saobias0SAO_0.108.txt,726376
screen-saobias0SAO_0.111.txt,726773
screen-saobias0SAO_0.112.txt,726776
screen-saobias0SAO_0.113.txt,726876
screen-saobias0SAO_0.114.txt,727059
screen-saobias0SAO_0.11.txt,726803
screen-saobias0SAO_0.116.txt,727239
screen-saobias0SAO_0.115.txt,727146
screen-saobias0SAO_0.118.txt,727870
screen-saobias0SAO_0.119.txt,727836
screen-saobias0SAO_0.117.txt,727505
screen-saobias0SAO_0.121.txt,728213
screen-saobias0SAO_0.123.txt,728362
screen-saobias0SAO_0.12.txt,728064
screen-saobias0SAO_0.122.txt,728362
